"Period","Date","Date2","Treatment","Site","choice","dung_density","Activity","Ind_Secs"
8,2017-06-07,2017-09-05,"CONT","Jericho","ELEPHANT",0,"dgraze",0
8,2017-06-07,2017-09-05,"CONT","Jericho","BUFFALO",0,"dcount",4.5854784057971
8,2017-06-07,2017-09-05,"CONT","Jericho","BUFFALO",0,"ddrink",0.21221531884058
8,2017-06-07,2017-09-05,"CONT","Jericho","BUFFALO",0,"dgraze",3.21633028985507
8,2017-06-07,2017-09-05,"CONT","Jericho","CATTLE",0,"dcount",34.3976376811594
8,2017-06-07,2017-09-05,"CONT","Jericho","CATTLE",0,"ddrink",6.22528115942029
8,2017-06-07,2017-09-05,"CONT","Jericho","CATTLE",0,"dgraze",25.4467260869565
8,2017-06-07,2017-09-05,"CONT","Jericho","ZEBRA",0,"dcount",54.8271347826087
8,2017-06-07,2017-09-05,"CONT","Jericho","ZEBRA",0,"ddrink",10.4590083623188
8,2017-06-07,2017-09-05,"CONT","Jericho","ZEBRA",0,"dgraze",38.5608443478261
8,2017-06-07,2017-09-05,"CONT","Jericho","IMPALA",0.1485,"dcount",79.1227101449275
8,2017-06-07,2017-09-05,"CONT","Jericho","IMPALA",0.1485,"ddrink",24.4565217391304
8,2017-06-07,2017-09-05,"CONT","Jericho","IMPALA",0.1485,"dgraze",32.3948128985507
8,2017-06-07,2017-09-05,"CONT","Jericho","GIRAFFE",6.04166666666667,"dcount",8.44202884057971
8,2017-06-07,2017-09-05,"CONT","Jericho","GIRAFFE",6.04166666666667,"ddrink",0
8,2017-06-07,2017-09-05,"CONT","Jericho","GIRAFFE",6.04166666666667,"dgraze",0.999999710144928
9,2017-07-10,2017-10-08,"CONT","Jericho","ELEPHANT",0,"dcount",0.153846153846154
9,2017-07-10,2017-10-08,"CONT","Jericho","ELEPHANT",0,"ddrink",0
9,2017-07-10,2017-10-08,"CONT","Jericho","ELEPHANT",0,"dgraze",0
9,2017-07-10,2017-10-08,"CONT","Jericho","BUFFALO",0,"dcount",4.86766169230769
9,2017-07-10,2017-10-08,"CONT","Jericho","BUFFALO",0,"ddrink",0.225274723076923
9,2017-07-10,2017-10-08,"CONT","Jericho","BUFFALO",0,"dgraze",3.41425830769231
9,2017-07-10,2017-10-08,"CONT","Jericho","CATTLE",0,"dcount",36.5144153846154
9,2017-07-10,2017-10-08,"CONT","Jericho","CATTLE",0,"ddrink",6.60837538461538
9,2017-07-10,2017-10-08,"CONT","Jericho","CATTLE",0,"dgraze",27.0126784615385
9,2017-07-10,2017-10-08,"CONT","Jericho","ZEBRA",0,"dcount",63.0500769230769
9,2017-07-10,2017-10-08,"CONT","Jericho","ZEBRA",0,"ddrink",12.3517246153846
9,2017-07-10,2017-10-08,"CONT","Jericho","ZEBRA",0,"dgraze",42.9130224615385
9,2017-07-10,2017-10-08,"CONT","Jericho","IMPALA",1.265,"dcount",80.9148769230769
9,2017-07-10,2017-10-08,"CONT","Jericho","IMPALA",1.265,"ddrink",25.9615384615385
9,2017-07-10,2017-10-08,"CONT","Jericho","IMPALA",1.265,"dgraze",32.9897384615385
9,2017-07-10,2017-10-08,"CONT","Jericho","GIRAFFE",1.45833333333333,"dcount",8.88461523076923
9,2017-07-10,2017-10-08,"CONT","Jericho","GIRAFFE",1.45833333333333,"ddrink",0
9,2017-07-10,2017-10-08,"CONT","Jericho","GIRAFFE",1.45833333333333,"dgraze",1.06153815384615
12,2017-09-19,2017-12-18,"CONT","Jericho","ELEPHANT",0,"dcount",0.304347826086957
12,2017-09-19,2017-12-18,"CONT","Jericho","ELEPHANT",0,"ddrink",0
12,2017-09-19,2017-12-18,"CONT","Jericho","ELEPHANT",0,"dgraze",0.0688405760869565
12,2017-09-19,2017-12-18,"CONT","Jericho","BUFFALO",0,"dcount",63.523372826087
12,2017-09-19,2017-12-18,"CONT","Jericho","BUFFALO",0,"ddrink",4.61611554347826
12,2017-09-19,2017-12-18,"CONT","Jericho","BUFFALO",0,"dgraze",43.1131826086957
12,2017-09-19,2017-12-18,"CONT","Jericho","CATTLE",2.66666666666667,"dcount",183.245840217391
12,2017-09-19,2017-12-18,"CONT","Jericho","CATTLE",2.66666666666667,"ddrink",17.7242401086957
12,2017-09-19,2017-12-18,"CONT","Jericho","CATTLE",2.66666666666667,"dgraze",120.253329347826
12,2017-09-19,2017-12-18,"CONT","Jericho","ZEBRA",0,"dcount",20.4544565217391
12,2017-09-19,2017-12-18,"CONT","Jericho","ZEBRA",0,"ddrink",0.704968913043478
12,2017-09-19,2017-12-18,"CONT","Jericho","ZEBRA",0,"dgraze",8.71534641304348
12,2017-09-19,2017-12-18,"CONT","Jericho","IMPALA",0,"dcount",28.1594239130435
12,2017-09-19,2017-12-18,"CONT","Jericho","IMPALA",0,"ddrink",0.182419673913043
12,2017-09-19,2017-12-18,"CONT","Jericho","IMPALA",0,"dgraze",9.85668706521739
12,2017-09-19,2017-12-18,"CONT","Jericho","GIRAFFE",2.1875,"dcount",0.467391304347826
12,2017-09-19,2017-12-18,"CONT","Jericho","GIRAFFE",2.1875,"ddrink",0.108695652173913
12,2017-09-19,2017-12-18,"CONT","Jericho","GIRAFFE",2.1875,"dgraze",0.173913043478261
15,2018-01-21,2018-04-21,"CONT","Jericho","ELEPHANT",0,"dcount",7.99038461538461
15,2018-01-21,2018-04-21,"CONT","Jericho","ELEPHANT",0,"ddrink",0
15,2018-01-21,2018-04-21,"CONT","Jericho","ELEPHANT",0,"dgraze",3.93589769230769
15,2018-01-21,2018-04-21,"CONT","Jericho","BUFFALO",0,"dcount",0
15,2018-01-21,2018-04-21,"CONT","Jericho","BUFFALO",0,"ddrink",0
15,2018-01-21,2018-04-21,"CONT","Jericho","BUFFALO",0,"dgraze",0
15,2018-01-21,2018-04-21,"CONT","Jericho","CATTLE",7.11111111111111,"dcount",0
15,2018-01-21,2018-04-21,"CONT","Jericho","CATTLE",7.11111111111111,"ddrink",0
15,2018-01-21,2018-04-21,"CONT","Jericho","CATTLE",7.11111111111111,"dgraze",0
15,2018-01-21,2018-04-21,"CONT","Jericho","ZEBRA",9.625,"dcount",24.2435884615385
15,2018-01-21,2018-04-21,"CONT","Jericho","ZEBRA",9.625,"ddrink",0
15,2018-01-21,2018-04-21,"CONT","Jericho","ZEBRA",9.625,"dgraze",5.12820384615385
15,2018-01-21,2018-04-21,"CONT","Jericho","IMPALA",0.2805,"dcount",6.03846153846154
15,2018-01-21,2018-04-21,"CONT","Jericho","IMPALA",0.2805,"ddrink",0
15,2018-01-21,2018-04-21,"CONT","Jericho","IMPALA",0.2805,"dgraze",0.307692307692308
